user_id,username,display_name,language,language_name,profile_id,profile_label,n_posts,p_ai_coding_innovations,p_ai_copyright_theft,p_ai_mass_surveillance,n_ai_coding_innovations,n_ai_copyright_theft,n_ai_mass_surveillance,emp_ai_coding_innovations,emp_ai_copyright_theft,emp_ai_mass_surveillance
user_0036,jordan_warren36,Jordan Warren,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,77,7,16,0.77,0.07,0.16
user_0037,adrian_bryant_37,Adrian Bryant,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,9,82,9,0.09,0.82,0.09
user_0038,samuel_stevens_38,Samuel Stevens,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,10,10,80,0.1,0.1,0.8
user_0039,james_bailey_39,James Bailey,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,28,31,41,0.28,0.31,0.41
user_0040,aubrey_hunt,Aubrey Hunt,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,38,53,9,0.38,0.53,0.09
user_0041,amelia_graham_41,Amelia Graham,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,44,10,46,0.44,0.1,0.46
user_0042,john_perry_42,John Perry,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,20,41,39,0.2,0.41,0.39
user_0043,julian_bryant,Julian Bryant,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,79,10,11,0.79,0.1,0.11
user_0044,lucy_stevens_58,Lucy Stevens,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,9,79,12,0.09,0.79,0.12
user_0045,john_hayes_45,John Hayes,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,13,12,75,0.13,0.12,0.75
user_0046,amelia_crawford46,Amelia Crawford,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,33,39,28,0.33,0.39,0.28
user_0047,ryan_crawford,Ryan Crawford,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,47,39,14,0.47,0.39,0.14
user_0048,olivia_gonzales_48,Olivia Gonzales,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,50,6,44,0.5,0.06,0.44
user_0049,sam_jenkins_49,Sam Jenkins,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,10,55,35,0.1,0.55,0.35
user_0050,joshua_woods_71,Joshua Woods,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,80,8,12,0.8,0.08,0.12
user_0051,claire_kennedy51,Claire Kennedy,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,18,75,7,0.18,0.75,0.07
user_0052,quinn_fisher_52,Quinn Fisher,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,9,8,83,0.09,0.08,0.83
user_0053,benjamin_webb53,Benjamin Webb,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,33,36,0.31,0.33,0.36
user_0054,levi_perry,Levi Perry,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,46,42,12,0.46,0.42,0.12
user_0055,skyler_hayes_55,Skyler Hayes,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,47,14,39,0.47,0.14,0.39
user_0056,alex_ross_56,Alex Ross,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,11,43,46,0.11,0.43,0.46
user_0057,violet_freeman_12,Violet Freeman,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,80,12,8,0.8,0.12,0.08
user_0058,nolan_morales,Nolan Morales,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,10,80,10,0.1,0.8,0.1
user_0059,claire_flores_59,Claire Flores,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,16,9,75,0.16,0.09,0.75
user_0060,julian_kim_60,Julian Kim,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,34,36,30,0.34,0.36,0.3
user_0061,alex_myers,Alex Myers,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,43,46,11,0.43,0.46,0.11
user_0062,victoria_graham62,Victoria Graham,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,50,11,39,0.5,0.11,0.39
user_0063,sofia_crawford_71,Sofia Crawford,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,6,47,47,0.06,0.47,0.47
user_0064,aaron_washington,Aaron Washington,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,78,14,8,0.78,0.14,0.08
user_0065,levi_foster_65,Levi Foster,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,12,82,6,0.12,0.82,0.06
user_0066,abigail_patel_66,Abigail Patel,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,13,10,77,0.13,0.1,0.77
user_0067,luke_boyd67,Luke Boyd,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,40,29,0.31,0.4,0.29
user_0068,dakota_mcdonald,Dakota Mcdonald,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,41,48,11,0.41,0.48,0.11
user_0069,harper_kelly_69,Harper Kelly,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,46,14,40,0.46,0.14,0.4
user_0070,hazel_rice_29,Hazel Rice,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,10,40,50,0.1,0.4,0.5
user_0071,ryan_wallace_71,Ryan Wallace,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,82,7,11,0.82,0.07,0.11
user_0072,parker_russell,Parker Russell,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,11,78,11,0.11,0.78,0.11
user_0073,ethan_dixon73,Ethan Dixon,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,8,17,75,0.08,0.17,0.75
user_0074,harper_rivera_74,Harper Rivera,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,36,30,34,0.36,0.3,0.34
user_0075,cameron_henry_31,Cameron Henry,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,49,41,10,0.49,0.41,0.1
user_0076,james_hicks_38,James Hicks,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,44,8,48,0.44,0.08,0.48
user_0077,hannah_reyes_77,Hannah Reyes,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,15,43,42,0.15,0.43,0.42
user_0078,benjamin_ross,Benjamin Ross,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,81,11,8,0.81,0.11,0.08
user_0079,sofia_ortiz_79,Sofia Ortiz,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,9,82,9,0.09,0.82,0.09
user_0080,aurora_shaw_27,Aurora Shaw,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,10,11,79,0.1,0.11,0.79
user_0081,natalie_gonzales_32,Natalie Gonzales,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,37,32,0.31,0.37,0.32
user_0082,grace_hughes_82,Grace Hughes,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,40,48,12,0.4,0.48,0.12
user_0083,olivia_gibson,Olivia Gibson,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,45,11,44,0.45,0.11,0.44
user_0084,jordan_webb,Jordan Webb,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,8,44,48,0.08,0.44,0.48
user_0085,parker_reynolds_46,Parker Reynolds,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,81,12,7,0.81,0.12,0.07
user_0086,kendall_gonzales_86,Kendall Gonzales,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,15,77,8,0.15,0.77,0.08
user_0087,levi_simpson87,Levi Simpson,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,8,10,82,0.08,0.1,0.82
user_0088,charlotte_ramirez,Charlotte Ramirez,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,33,31,36,0.33,0.31,0.36
user_0089,lillian_gibson_89,Lillian Gibson,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,45,44,11,0.45,0.44,0.11
user_0090,julian_woods90,Julian Woods,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,42,10,48,0.42,0.1,0.48
user_0091,noah_jenkins_91,Noah Jenkins,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,13,41,46,0.13,0.41,0.46
user_0092,leah_barnes_92,Leah Barnes,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,79,12,9,0.79,0.12,0.09
user_0093,audrey_howard93,Audrey Howard,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,11,80,9,0.11,0.8,0.09
user_0094,christopher_ramirez,Christopher Ramirez,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,6,15,79,0.06,0.15,0.79
user_0095,charlotte_peterson95,Charlotte Peterson,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,29,34,37,0.29,0.34,0.37
user_0096,logan_richardson_79,Logan Richardson,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,47,46,7,0.47,0.46,0.07
user_0097,jaxon_rice_13,Jaxon Rice,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,51,10,39,0.51,0.1,0.39
user_0098,ethan_reyes_98,Ethan Reyes,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,2,52,46,0.02,0.52,0.46
user_0099,levi_warren99,Levi Warren,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,70,13,17,0.7,0.13,0.17
user_0100,chloe_boyd_47,Chloe Boyd,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,16,78,6,0.16,0.78,0.06
user_0101,finley_holmes101,Finley Holmes,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,8,17,75,0.08,0.17,0.75
user_0102,avery_butler_102,Avery Butler,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,39,26,35,0.39,0.26,0.35
user_0103,jamie_bennett_15,Jamie Bennett,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,39,48,13,0.39,0.48,0.13
user_0104,skylar_myers_104,Skylar Myers,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,51,13,36,0.51,0.13,0.36
user_0105,lillian_price_105,Lillian Price,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,8,49,43,0.08,0.49,0.43
user_0106,andrew_jordan_48,Andrew Jordan,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,79,13,8,0.79,0.13,0.08
user_0107,drew_marshall_107,Drew Marshall,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,13,72,15,0.13,0.72,0.15
user_0108,adrian_patterson_108,Adrian Patterson,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,11,8,81,0.11,0.08,0.81
user_0109,joseph_perry_50,Joseph Perry,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,32,33,35,0.32,0.33,0.35
user_0110,natalie_powell_110,Natalie Powell,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,41,47,12,0.41,0.47,0.12
user_0111,leah_jordan_82,Leah Jordan,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,58,10,32,0.58,0.1,0.32
user_0112,leah_simpson_21,Leah Simpson,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,12,45,43,0.12,0.45,0.43
user_0113,aaron_cooper_48,Aaron Cooper,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,82,9,9,0.82,0.09,0.09
user_0114,grace_burns114,Grace Burns,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,8,83,9,0.08,0.83,0.09
user_0115,harper_howard_65,Harper Howard,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,8,14,78,0.08,0.14,0.78
user_0116,chloe_walsh116,Chloe Walsh,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,38,41,21,0.38,0.41,0.21
user_0117,olivia_wallace_117,Olivia Wallace,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,48,37,15,0.48,0.37,0.15
user_0118,lucas_barnes118,Lucas Barnes,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,51,6,43,0.51,0.06,0.43
user_0119,emma_alexander119,Emma Alexander,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,9,41,50,0.09,0.41,0.5
user_0120,julian_west_120,Julian West,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,80,13,7,0.8,0.13,0.07
user_0121,reese_bennett121,Reese Bennett,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,16,75,9,0.16,0.75,0.09
user_0122,hazel_walsh_60,Hazel Walsh,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,10,12,78,0.1,0.12,0.78
user_0123,casey_hunt_123,Casey Hunt,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,34,35,0.31,0.34,0.35
user_0124,james_kelly,James Kelly,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,45,40,15,0.45,0.4,0.15
user_0125,morgan_reynolds,Morgan Reynolds,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,43,15,42,0.43,0.15,0.42
user_0126,emily_bennett_83,Emily Bennett,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,12,49,39,0.12,0.49,0.39
user_0127,lucas_henry,Lucas Henry,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,81,9,10,0.81,0.09,0.1
user_0128,joseph_james128,Joseph James,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,7,84,9,0.07,0.84,0.09
user_0129,mateo_hamilton129,Mateo Hamilton,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,6,6,88,0.06,0.06,0.88
user_0130,addison_wallace130,Addison Wallace,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,36,28,36,0.36,0.28,0.36
user_0131,owen_reed131,Owen Reed,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,46,46,8,0.46,0.46,0.08
user_0132,harper_gordon_93,Harper Gordon,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,43,9,48,0.43,0.09,0.48
user_0133,taylor_russell_133,Taylor Russell,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,9,41,50,0.09,0.41,0.5
user_0134,theodore_bryant_134,Theodore Bryant,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,78,13,9,0.78,0.13,0.09
user_0135,andrew_walsh,Andrew Walsh,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,9,74,17,0.09,0.74,0.17
user_0136,daniel_cruz_60,Daniel Cruz,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,9,6,85,0.09,0.06,0.85
user_0137,victoria_freeman,Victoria Freeman,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,42,27,0.31,0.42,0.27
user_0138,jayden_rivera_34,Jayden Rivera,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,48,42,10,0.48,0.42,0.1
user_0139,emma_hayes_139,Emma Hayes,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,43,6,51,0.43,0.06,0.51
user_0140,jayden_diaz,Jayden Diaz,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,12,49,39,0.12,0.49,0.39
user_0141,quinn_warren141,Quinn Warren,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,80,9,11,0.8,0.09,0.11
user_0142,gabriel_tucker_21,Gabriel Tucker,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,10,81,9,0.1,0.81,0.09
user_0143,emily_warren,Emily Warren,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,12,9,79,0.12,0.09,0.79
user_0144,dakota_morales144,Dakota Morales,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,26,38,36,0.26,0.38,0.36
user_0145,riley_graham145,Riley Graham,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,43,43,14,0.43,0.43,0.14
user_0146,casey_garcia_84,Casey Garcia,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,49,10,41,0.49,0.1,0.41
user_0147,leah_chen,Leah Chen,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,13,49,38,0.13,0.49,0.38
user_0148,alex_wood_62,Alex Wood,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,73,14,13,0.73,0.14,0.13
user_0149,jamie_porter_51,Jamie Porter,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,8,86,6,0.08,0.86,0.06
user_0150,aria_powell_150,Aria Powell,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,12,12,76,0.12,0.12,0.76
user_0151,reese_garcia_82,Reese Garcia,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,41,29,30,0.41,0.29,0.3
user_0152,nora_crawford,Nora Crawford,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,44,45,11,0.44,0.45,0.11
user_0153,abigail_hunt_70,Abigail Hunt,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,53,9,38,0.53,0.09,0.38
user_0154,riley_garcia_13,Riley Garcia,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,12,51,37,0.12,0.51,0.37
user_0155,lincoln_crawford_155,Lincoln Crawford,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,83,9,8,0.83,0.09,0.08
user_0156,alex_price156,Alex Price,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,10,81,9,0.1,0.81,0.09
user_0157,addison_marshall157,Addison Marshall,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,9,11,80,0.09,0.11,0.8
user_0158,mia_shaw_158,Mia Shaw,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,33,34,33,0.33,0.34,0.33
user_0159,david_mason,David Mason,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,54,34,12,0.54,0.34,0.12
user_0160,taylor_long160,Taylor Long,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,50,9,41,0.5,0.09,0.41
user_0161,casey_reynolds161,Casey Reynolds,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,6,52,42,0.06,0.52,0.42
user_0162,joseph_warren_162,Joseph Warren,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,71,18,11,0.71,0.18,0.11
user_0163,nolan_hunt_70,Nolan Hunt,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,6,82,12,0.06,0.82,0.12
user_0164,cameron_ramos_13,Cameron Ramos,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,12,6,82,0.12,0.06,0.82
user_0165,mateo_boyd,Mateo Boyd,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,31,38,31,0.31,0.38,0.31
user_0166,kendall_richardson166,Kendall Richardson,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,42,48,10,0.42,0.48,0.1
user_0167,anthony_powell_53,Anthony Powell,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,48,9,43,0.48,0.09,0.43
user_0168,hazel_cooper,Hazel Cooper,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,12,44,44,0.12,0.44,0.44
user_0169,olivia_cooper169,Olivia Cooper,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,86,5,9,0.86,0.05,0.09
user_0170,sam_cox,Sam Cox,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,6,81,13,0.06,0.81,0.13
user_0171,hazel_singh,Hazel Singh,en,English,surveillance_heavy,Mostly AI mass surveillance,100,0.1,0.1,0.8,7,9,84,0.07,0.09,0.84
user_0172,lucy_flores_172,Lucy Flores,en,English,balanced,Even across all topics,100,0.333333,0.333333,0.333334,42,25,33,0.42,0.25,0.33
user_0173,claire_bailey_19,Claire Bailey,en,English,coding_copyright,Split: coding + copyright,100,0.45,0.45,0.1,41,48,11,0.41,0.48,0.11
user_0174,skylar_powell,Skylar Powell,en,English,coding_surveillance,Split: coding + surveillance,100,0.45,0.1,0.45,42,15,43,0.42,0.15,0.43
user_0175,mia_butler,Mia Butler,en,English,copyright_surveillance,Split: copyright + surveillance,100,0.1,0.45,0.45,11,53,36,0.11,0.53,0.36
user_0176,logan_warren_176,Logan Warren,en,English,coding_heavy,Mostly AI coding innovations,100,0.8,0.1,0.1,81,6,13,0.81,0.06,0.13
user_0177,joshua_kennedy_44,Joshua Kennedy,en,English,copyright_heavy,Mostly AI copyright / theft concerns,100,0.1,0.8,0.1,8,86,6,0.08,0.86,0.06
